id_code,age,race,marital,residence,highest_grade,own_rent,income,children
1,51,2,1,4,6,1,7800,2
2,55,2,1,4,7,2,5300,3
3,50,2,1,4,6,2,7000,0
4,53,2,1,4,7,2,7500,9
5,55,2,4,4,2,2,5000,2
6,52,1,1,4,10,1,10000,1
7,45,1,1,4,8,1,6000,2
8,56,1,1,4,8,1,0,2
9,59,1,1,4,8,1,5000,3
10,48,1,1,4,12,1,9000,3
11,46,1,1,4,12,1,6500,3
12,53,1,1,4,12,1,7000,1
13,47,1,1,4,9,2,5200,3
14,56,1,1,8,14,1,-2,2
15,54,1,1,8,12,1,0,2
16,59,1,1,8,11,1,8000,2
17,52,1,4,3,12,2,4758,0
18,49,1,5,3,8,2,1400,3
19,55,1,1,8,12,1,11000,2
20,49,1,1,5,11,3,948,11
21,56,1,5,5,8,1,6100,3
22,46,2,1,5,9,1,2400,0
23,47,2,-4,5,10,3,3500,3
24,53,1,1,5,9,1,7200,8
25,48,2,3,5,-4,2,0,1
26,56,1,1,4,12,2,8000,3
27,51,1,1,4,8,2,4500,5
28,51,1,1,4,2,1,3400,2
29,57,1,1,4,13,1,10000,1
30,51,1,1,8,6,1,4000,3
31,59,1,1,8,10,1,0,5
32,45,1,1,8,8,4,2700,2
33,52,1,6,8,8,4,25,0
34,47,1,6,8,8,4,2000,0
35,45,1,1,8,7,2,5230,1
36,51,1,1,3,18,1,12500,1
37,51,1,1,3,18,1,8500,4
38,47,1,1,3,14,1,5000,2
39,56,1,1,3,11,2,5100,1
40,46,1,1,3,8,1,11000,7
41,51,1,1,3,9,1,6400,2
42,50,1,1,3,9,1,6200,4
43,55,1,1,4,18,1,8000,2
44,47,1,1,4,12,1,12500,2
45,52,1,1,4,8,1,7800,1
46,49,1,1,4,8,2,10000,0
47,47,1,1,4,18,1,6000,3
48,51,1,1,4,12,1,14000,1
49,57,1,1,4,12,1,11000,2
50,51,1,1,4,11,1,7000,2
51,58,1,1,4,14,1,-2,0
52,56,1,1,3,9,1,5200,2
53,51,1,1,3,8,1,5700,1
54,59,1,1,3,8,1,12000,2
55,58,1,1,3,12,1,10000,4
56,59,1,6,3,9,1,4300,0
57,48,1,1,3,10,1,7200,3
58,49,1,1,3,12,1,7300,2
59,51,1,1,3,9,2,6000,2
60,47,1,4,3,8,2,8000,0
61,48,1,1,3,7,4,8000,2
62,57,1,1,8,9,2,5500,3
63,51,1,1,8,16,1,8000,3
64,48,1,1,8,11,1,5800,2
65,57,1,1,6,10,1,15000,5
66,52,1,1,7,15,1,11000,3
67,47,1,1,7,12,1,18000,4
68,57,1,1,5,12,1,9000,2
69,51,1,1,1,8,2,5000,5
70,45,1,1,1,13,2,15000,0
71,48,2,6,1,12,2,1500,0
72,58,3,1,1,10,2,0,1
73,54,3,5,1,6,2,494,0
74,46,2,1,1,12,2,300,0
75,46,2,1,1,-4,2,8750,-4
76,46,1,1,1,18,2,0,0
77,57,1,1,1,12,2,5018,3
78,53,1,1,1,17,2,18322,2
79,51,1,6,1,12,2,21000,0
80,53,2,1,1,12,2,4000,1
81,47,2,1,1,10,2,0,4
82,53,1,1,1,8,2,7900,0
83,55,2,1,1,8,2,4500,2
84,57,2,1,1,5,2,0,1
85,56,2,1,1,7,2,0,0
86,45,1,4,1,12,2,4500,0
87,46,1,1,1,12,2,4600,1
88,56,1,1,1,12,2,5600,2
89,53,1,1,1,12,2,7500,2
90,48,1,6,1,12,2,2682,0
91,59,2,1,1,7,2,4000,1
92,53,2,1,1,7,2,0,0
93,50,2,1,1,8,2,1000,9
94,57,2,1,1,5,2,4500,2
95,54,2,1,1,7,2,0,0
96,49,1,1,1,8,1,3800,4
97,46,2,1,1,3,2,6125,1
98,45,1,3,1,12,2,0,0
99,49,1,1,1,14,2,12500,4
100,54,1,5,1,10,4,9000,1
101,56,1,1,1,6,3,7500,4
102,47,1,1,1,8,1,7000,2
103,55,3,1,1,4,1,5000,1
104,52,2,1,1,8,1,3200,1
105,50,2,1,1,12,1,3000,1
106,46,3,1,1,11,2,4800,6
107,49,2,1,1,9,2,5500,4
108,52,3,1,1,1,2,0,10
109,45,2,1,1,7,2,0,7
110,50,2,5,1,9,2,0,0
111,56,1,1,1,16,2,5770,0
112,46,1,1,1,9,1,7800,4
113,54,1,1,1,12,1,8200,-4
114,55,1,1,1,10,1,8200,0
115,45,1,1,1,9,1,6900,2
116,46,2,5,1,7,4,5000,8
117,54,2,3,1,11,2,2000,3
118,45,2,1,1,12,1,6500,2
119,46,2,1,1,3,1,6262,2
120,59,1,4,1,7,2,0,1
121,47,2,1,1,12,1,8500,1
122,48,2,4,1,4,4,2722,1
123,57,2,5,1,-4,1,3500,0
124,48,1,1,1,9,1,7400,2
125,47,1,1,1,10,1,9000,3
126,56,1,1,1,6,1,5900,0
127,51,1,1,1,8,1,0,0
128,47,1,1,1,16,1,9600,7
129,55,1,1,1,7,1,8000,0
130,59,1,1,1,11,1,8500,4
131,53,1,-4,1,-4,2,-2,-4
132,53,1,1,1,12,2,5600,0
133,46,1,1,1,10,1,5800,3
134,50,2,1,1,11,1,0,4
135,56,2,5,1,10,1,5800,0
136,57,2,1,1,11,1,4500,4
137,46,2,1,1,9,1,3600,6
138,52,2,1,1,12,1,6850,1
139,45,2,1,1,11,1,6500,2
140,47,2,1,1,16,1,10000,1
141,51,2,1,1,12,1,4500,0
142,52,2,1,1,12,2,5200,2
143,56,2,1,1,11,1,0,4
144,51,2,1,1,5,1,6500,1
145,56,2,1,1,5,2,0,2
146,48,2,1,1,10,1,7500,1
147,49,2,1,1,12,1,7500,0
148,50,2,1,1,12,1,6500,2
149,58,2,1,1,5,1,7000,4
150,51,2,6,1,3,2,0,0
151,47,1,1,1,9,4,4520,0
152,47,1,6,1,12,4,6500,0
153,51,1,1,1,11,1,0,1
154,57,1,1,1,7,1,0,4
155,52,1,1,1,11,1,5000,2
156,53,1,1,1,12,1,6000,4
157,49,1,6,4,-4,1,0,-4
158,57,1,1,1,10,2,0,0
159,50,1,5,1,7,2,7900,2
160,45,1,1,1,11,1,1695,0
161,48,1,1,1,11,1,8200,3
162,45,1,1,1,11,1,5700,2
163,45,2,1,1,3,2,0,3
164,51,1,1,1,10,1,5600,6
165,47,2,1,1,9,1,7200,4
166,58,2,6,1,4,2,0,2
167,46,2,1,1,6,2,2100,0
168,50,2,1,1,10,2,6240,3
169,49,2,1,1,9,2,6000,1
170,51,2,1,1,11,1,6000,7
171,51,2,6,1,8,4,4000,1
172,56,2,1,1,10,2,2600,6
173,52,2,1,1,9,1,6500,4
174,54,2,2,1,8,2,2800,10
175,57,1,1,1,12,1,13042,1
176,45,1,1,1,11,1,8897,3
177,47,1,1,1,12,1,9500,1
178,54,1,1,1,8,1,8800,1
179,50,1,1,1,12,1,5500,4
180,52,1,1,1,7,1,7200,0
181,52,1,1,1,8,1,9967,4
182,53,1,1,1,15,1,27000,2
183,50,1,1,1,16,1,23000,2
184,53,1,1,1,16,1,15000,2
185,49,1,1,1,12,1,5000,3
186,50,1,1,1,16,1,13000,1
187,50,1,1,1,8,1,4448,2
188,45,1,1,1,15,1,8000,2
189,45,1,1,1,9,1,7100,2
190,45,1,1,1,9,1,5000,1
191,48,1,1,1,18,1,0,0
192,48,1,1,1,12,1,11000,1
193,45,2,1,1,7,1,7000,0
194,56,1,1,6,7,2,7400,1
195,58,1,1,8,10,1,8500,0
